date,tplb,d2m,u10,v10,t2m,sst,sp
2020/1/3 2:00,36.24280284,295.0477807,-6.599574247,-7.427777831,297.9218584,298.4489302,101717.3872
2020/1/3 3:00,55.93868779,295.040365,-6.526863988,-7.497606687,297.9294566,298.4505028,101707.0349
2020/1/3 4:00,87.02231048,295.0364743,-6.417650896,-7.583894585,297.929568,298.4515077,101678.7047
2020/1/3 5:00,135.7103955,295.0286749,-6.3021285,-7.673563957,297.9153424,298.4521457,101639.1469
2020/1/3 6:00,211.7405597,295.0105852,-6.225933254,-7.766755946,297.8866839,298.4525445,101599.5142
2020/1/3 7:00,330.3188361,294.9852426,-6.193339666,-7.8756919,297.8474816,298.4527838,101570.0865
2020/1/3 8:00,433.4221014,294.9440472,-6.201376935,-7.98044818,297.8038229,298.4529115,101551.3473
2020/1/3 9:00,506.7576992,294.8667395,-6.241895739,-8.05443153,297.7601705,298.4529531,101548.1694
2020/1/3 10:00,549.9443782,294.7544284,-6.306886372,-8.085895366,297.7151243,298.4529169,101559.0166
2020/1/3 11:00,587.0692257,294.6499158,-6.41082526,-8.099654398,297.6681965,298.4527958,101581.3833
2020/1/3 12:00,623.8972644,294.5618411,-6.510785465,-8.084313751,297.6241126,298.4525654,101598.7489
2020/1/3 13:00,654.8818921,294.4839986,-6.567922704,-8.048764345,297.5782706,298.4521797,101612.2702
2020/1/3 14:00,684.390011,294.4074754,-6.56631588,-8.021190077,297.5317648,298.4515616,101612.1066
2020/1/3 15:00,718.3640631,294.3246407,-6.518948326,-8.013285456,297.4861976,298.4505875,101598.933
2020/1/3 16:00,749.6729929,294.233529,-6.458625899,-8.001884934,297.4432681,298.4490624,101575.6688
2020/1/3 17:00,782.864215,294.1364954,-6.427389883,-8.004397084,297.4093258,298.4466815,101549.9704
2020/1/3 18:00,824.4127004,294.0303643,-6.463933384,-8.023511967,297.3871116,298.4429685,101523.7747
2020/1/3 19:00,880.7845165,293.8991387,-6.599217895,-8.071657241,297.3835449,298.4371808,101504.1732
2020/1/3 20:00,929.4768286,293.7218026,-6.777515539,-8.127105918,297.4065253,298.4281609,101490.9984
2020/1/3 21:00,980.0240071,293.4658772,-6.905282455,-8.130506019,297.464864,298.4141048,101491.1797
2020/1/3 22:00,1024.854332,293.1258146,-6.975253775,-8.057598572,297.5551099,298.3922013,101500.5716
2020/1/3 23:00,1070.40313,292.9631816,-7.034389843,-7.946013545,297.6442745,298.3781451,101521.7172
2020/1/4 0:00,1106.62274,292.954688,-7.027550901,-7.836437701,297.7282,298.369125,101546.8153
2020/1/4 1:00,1137.838572,293.0915721,-6.933855604,-7.765584381,297.788394,298.3633369,101563.6442
2020/1/4 2:00,1149.231514,293.286031,-6.762652585,-7.752680751,297.8324057,298.3596232,101563.389
2020/1/4 3:00,1140.297703,293.4762421,-6.542676807,-7.759560623,297.8675712,298.3572413,101540.316
2020/1/4 4:00,1109.14833,293.6541351,-6.28788246,-7.784537289,297.8888286,298.3557147,101497.9594
