date,tplb,d2m,u10,v10,t2m,sst,sp
2020/1/3 2:00,455.8654663,294.6922593,-6.853017068,-6.178239224,298.4667898,299.2489425,101720.1879
2020/1/3 3:00,459.9778764,294.6486864,-6.810114331,-6.160180542,298.5231761,299.2485971,101706.5718
2020/1/3 4:00,462.3895885,294.6122525,-6.736668366,-6.175290139,298.5691268,299.2483775,101675.6214
2020/1/3 5:00,465.1468637,294.5841282,-6.645706294,-6.221197334,298.6032453,299.2482395,101634.4608
2020/1/3 6:00,468.8277584,294.5631693,-6.555442503,-6.29647952,298.6258578,299.2481557,101593.8944
2020/1/3 7:00,476.1192828,294.5470103,-6.48491522,-6.395514364,298.6369656,299.2481091,101564.1215
2020/1/3 8:00,480.7027381,294.5299611,-6.430554843,-6.501521997,298.6339381,299.2480907,101546.6881
2020/1/3 9:00,482.3509502,294.5041549,-6.380830699,-6.608653844,298.6173651,299.2480965,101544.7503
2020/1/3 10:00,483.147359,294.4556553,-6.313448574,-6.704325924,298.5881191,299.2481279,101556.1612
2020/1/3 11:00,484.401773,294.4260615,-6.299934098,-6.789527421,298.5520573,299.2481911,101575.7462
2020/1/3 12:00,486.5086759,294.4050801,-6.317024225,-6.854947895,298.5106793,299.2482987,101591.9752
2020/1/3 13:00,490.8648922,294.3866539,-6.341207831,-6.889149156,298.4604199,299.2484722,101604.1938
2020/1/3 14:00,498.4028847,294.3672256,-6.361638206,-6.892760282,298.4018113,299.2487464,101604.8029
2020/1/3 15:00,509.8615301,294.3432595,-6.375428882,-6.879655834,298.3399957,299.2491762,101592.7479
2020/1/3 16:00,524.5803328,294.3114029,-6.387971494,-6.853153843,298.2766564,299.2498473,101569.4399
2020/1/3 17:00,541.5274713,294.269686,-6.397041632,-6.822955688,298.2167263,299.2508941,101541.3279
2020/1/3 18:00,561.3344708,294.2202907,-6.40364681,-6.793083018,298.1644587,299.252526,101513.6627
2020/1/3 19:00,584.9114833,294.1645471,-6.416605796,-6.764870059,298.1258319,299.2550692,101494.137
2020/1/3 20:00,606.0586649,294.1048614,-6.430755602,-6.725788238,298.1043201,299.2590325,101484.6223
2020/1/3 21:00,625.0173528,294.0445025,-6.431345855,-6.667501067,298.104753,299.2652085,101489.1354
2020/1/3 22:00,641.4293404,293.9840415,-6.390080826,-6.58643741,298.127462,299.2748324,101503.6193
2020/1/3 23:00,655.9678348,293.9426683,-6.398582522,-6.549257268,298.1603675,299.2810085,101524.3954
2020/1/4 0:00,665.7393975,293.9146972,-6.427342539,-6.53107857,298.203969,299.2849721,101546.5476
2020/1/4 1:00,671.9490655,293.8970573,-6.453595241,-6.51861458,298.2586488,299.2875158,101561.9408
2020/1/4 2:00,675.9064953,293.8873944,-6.455628425,-6.514759374,298.3179278,299.2891485,101562.4884
2020/1/4 3:00,673.8626296,293.8822626,-6.430813069,-6.522598353,298.3699661,299.2901966,101542.0547
2020/1/4 4:00,669.3007907,293.882053,-6.389394207,-6.538866135,298.4149105,299.2908697,101503.687
2020/1/4 5:00,662.5369661,293.8854815,-6.348698533,-6.560954919,298.4532803,299.2913026,101455.9908
2020/1/4 6:00,656.4458882,293.8923473,-6.32179985,-6.586581448,298.4865892,299.2915817,101407.6745
2020/1/4 7:00,654.4050581,293.9022277,-6.318049711,-6.61089486,298.5158775,299.2917629,101370.9584
2020/1/4 8:00,649.3995703,293.9119296,-6.325411123,-6.627660825,298.539721,299.2918824,101351.3054
2020/1/4 9:00,644.0549819,293.9151164,-6.324670551,-6.641431115,298.5566029,299.2919641,101349.7473
2020/1/4 10:00,643.963499,293.9013771,-6.288474156,-6.658729557,298.5625294,299.2920244,101361.9977
2020/1/4 11:00,645.03513,293.9143485,-6.336881756,-6.639830972,298.5634903,299.2920753,101385.8856
2020/1/4 12:00,644.5353312,293.94328,-6.441288848,-6.577183099,298.5626406,299.292127,101410.9605
2020/1/4 13:00,641.0924643,293.9830055,-6.570833635,-6.471571629,298.552389,299.2921899,101430.8384
2020/1/4 14:00,633.5680188,294.0292854,-6.702458883,-6.345724837,298.5317357,299.2922765,101441.3357
2020/1/4 15:00,624.6656226,294.079812,-6.822254299,-6.203257782,298.5037112,299.2924041,101439.2391
2020/1/4 16:00,615.526268,294.1325188,-6.928552235,-6.052997522,298.4694995,299.2925983,101429.3404
2020/1/4 17:00,604.8458024,294.18571,-7.019187252,-5.905829985,298.4325733,299.2928978,101413.8511
2020/1/4 18:00,589.6859946,294.2364705,-7.093059575,-5.768425512,298.3993052,299.2933627,101398.6874
2020/1/4 19:00,570.488289,294.2835667,-7.157046331,-5.6386563,298.3773381,299.2940859,101390.3053
2020/1/4 20:00,544.2532032,294.3278562,-7.204842531,-5.507260092,298.3720789,299.295212,101392.6959
2020/1/4 21:00,513.2011174,294.3708305,-7.220091704,-5.375365457,298.3874311,299.2969662,101405.9642
2020/1/4 22:00,476.5568597,294.4117618,-7.1834022,-5.246852266,298.4222055,299.2996995,101426.5336
2020/1/4 23:00,437.0414117,294.4660302,-7.182441187,-5.141502559,298.4674378,299.3014536,101451.2273
2020/1/5 0:00,397.1252023,294.5283322,-7.191197311,-5.048352181,298.5297267,299.3025794,101474.371
2020/1/5 1:00,354.9197515,294.5948811,-7.18572436,-4.950093354,298.602434,299.3033021,101488.5928
2020/1/5 2:00,312.2693515,294.662957,-7.150107635,-4.85526243,298.6791548,299.3037662,101489.8422
2020/1/5 3:00,269.7959295,294.7299743,-7.075671182,-4.76903525,298.7484329,299.3040645,101473.1901
2020/1/5 4:00,234.1202151,294.7960433,-6.971746495,-4.700894602,298.8088679,299.3042568,101442.9052
2020/1/5 5:00,206.9651447,294.8611096,-6.856218706,-4.652706925,298.8595243,299.3043813,101408.4679
2020/1/5 6:00,184.029757,294.9273277,-6.74898864,-4.630909846,298.8980062,299.3044632,101376.621
2020/1/5 7:00,165.3393043,294.9964074,-6.663580821,-4.63240586,298.9245083,299.3045186,101357.4968
2020/1/5 8:00,150.9946662,295.0666692,-6.594923705,-4.652345451,298.9356736,299.3045588,101354.5523
2020/1/5 9:00,138.1524072,295.1321328,-6.521995415,-4.680540965,298.9299086,299.3045917,101365.8977
2020/1/5 10:00,127.1313173,295.184405,-6.427903759,-4.721406815,298.9074501,299.304624,101387.1269
2020/1/5 11:00,119.6941525,295.2405955,-6.426860138,-4.723602372,298.8792823,299.304662,101413.8785
2020/1/5 12:00,115.0735356,295.2932792,-6.489094055,-4.682558319,298.8470083,299.3047135,101437.9701
2020/1/5 13:00,113.7042114,295.3384071,-6.587774814,-4.600356082,298.8074361,299.3047886,101456.7223
2020/1/5 14:00,115.7032057,295.3735459,-6.698693668,-4.486392337,298.7633784,299.3049024,101463.6274
2020/1/5 15:00,118.263453,295.4001217,-6.810175082,-4.359811777,298.7184705,299.3050777,101457.0363
2020/1/5 16:00,120.3358076,295.4216191,-6.90371471,-4.231096053,298.6731392,299.3053496,101440.653
2020/1/5 17:00,120.067597,295.4397046,-6.975684784,-4.115822259,298.6309678,299.3057723,101419.842
2020/1/5 18:00,117.3370473,295.456281,-7.010687843,-4.023931947,298.5950333,299.3064306,101397.8599
2020/1/5 19:00,111.8625464,295.4725759,-7.001315608,-3.957804605,298.569993,299.3074559,101383.5455
2020/1/5 20:00,107.8527651,295.4908807,-6.942637834,-3.910750934,298.5582174,299.3090534,101381.7071
2020/1/5 21:00,104.8858362,295.513004,-6.820261016,-3.887796136,298.5624941,299.3115425,101393.2029
2020/1/5 22:00,102.968654,295.5397463,-6.622378758,-3.902067543,298.5814037,299.3154211,101411.2781
2020/1/5 23:00,102.8954686,295.5694845,-6.480341751,-3.889134279,298.6111877,299.3179104,101436.8254
2020/1/6 0:00,105.1562347,295.6022481,-6.358420569,-3.857326241,298.6531083,299.3195082,101462.3427
2020/1/6 1:00,108.7630543,295.6372147,-6.230869904,-3.81826256,298.7057619,299.3205341,101480.9167
2020/1/6 2:00,113.0302556,295.6727538,-6.081856636,-3.78094164,298.7624571,299.3211932,101488.183
2020/1/6 3:00,114.8233536,295.7065254,-5.906712372,-3.766007858,298.8114802,299.3216175,101475.3442
2020/1/6 4:00,114.9457771,295.738936,-5.714155112,-3.774613561,298.8515547,299.3218917,101444.275
2020/1/6 5:00,114.1344181,295.7703721,-5.524205451,-3.809082259,298.8832018,299.3220706,101406.4235
2020/1/6 6:00,112.7628844,295.8047185,-5.35174936,-3.862414088,298.9049233,299.3221902,101366.6495
2020/1/6 7:00,112.1387125,295.843401,-5.208940065,-3.933776361,298.9176344,299.3222742,101340.3128
2020/1/6 8:00,110.915617,295.8839798,-5.091108053,-4.011592178,298.9181262,299.3223395,101327.0557
2020/1/6 9:00,108.3185223,295.9208635,-4.993615138,-4.096654485,298.9069588,299.3223991,101330.9866
2020/1/6 10:00,106.4247834,295.9450946,-4.891006183,-4.188149089,298.8838726,299.322465,101344.5851
2020/1/6 11:00,105.6119378,295.9710112,-4.858125202,-4.207955438,298.8559542,299.3225503,101367.4175
2020/1/6 12:00,106.5786287,295.992159,-4.868385574,-4.17065802,298.8245496,299.3226721,101389.9809
2020/1/6 13:00,109.4026516,296.0043945,-4.901041194,-4.084317254,298.7874306,299.3228547,101408.3871
2020/1/6 14:00,113.9511311,296.0070715,-4.942410321,-3.961674876,298.7443263,299.3231348,101417.1461
2020/1/6 15:00,119.1439547,296.0019505,-4.98895797,-3.811863209,298.6959852,299.3235682,101411.021
2020/1/6 16:00,123.5921679,295.9908375,-5.034002091,-3.643659248,298.6457181,299.3242417,101396.6137
2020/1/6 17:00,127.6998303,295.9754973,-5.07166571,-3.471034124,298.5965918,299.32529,101376.7305
2020/1/6 18:00,130.9983048,295.9589984,-5.086082642,-3.307827545,298.5560887,299.3269228,101356.0694
2020/1/6 19:00,133.531247,295.9434906,-5.078595625,-3.172725142,298.5285927,299.3294665,101339.6992
2020/1/6 20:00,135.3536896,295.9299499,-5.035974866,-3.074299619,298.5169015,299.33343,101333.0348
2020/1/6 21:00,136.7920711,295.9188712,-4.948056015,-3.019943475,298.5208353,299.3396059,101336.5547
2020/1/6 22:00,137.6668903,295.9107831,-4.796718504,-3.031729304,298.5382385,299.3492295,101348.6371
2020/1/6 23:00,138.8219522,295.9139894,-4.64990599,-3.070381263,298.5720889,299.3554058,101368.2765
2020/1/7 0:00,139.7542425,295.9266431,-4.497690818,-3.139334216,298.628673,299.35937,101389.8867
2020/1/7 1:00,140.3775708,295.9456349,-4.333169303,-3.236455247,298.701902,299.3619151,101407.5699
2020/1/7 2:00,141.664877,295.9682526,-4.155357069,-3.36329714,298.7826373,299.36355,101412.5365
2020/1/7 3:00,143.5986142,295.9901717,-3.964113788,-3.521613572,298.8556118,299.3646017,101398.7205
2020/1/7 4:00,147.3783237,296.0108334,-3.776014262,-3.712869067,298.9177966,299.3652805,101367.9912
2020/1/7 5:00,155.0041509,296.0294086,-3.61609888,-3.92227758,298.9646713,299.3657223,101329.6466
2020/1/7 6:00,166.7077769,296.0485926,-3.503220046,-4.146778904,298.9961458,299.3660154,101291.3434
2020/1/7 7:00,180.6549642,296.0703991,-3.453374006,-4.385358994,299.0120478,299.3662183,101266.9422
2020/1/7 8:00,191.1018048,296.0937947,-3.458909958,-4.616436506,299.009161,299.3663717,101258.626
2020/1/7 9:00,198.9861932,296.1145616,-3.5092144,-4.835678052,298.9876693,299.3665062,101272.4742
2020/1/7 10:00,205.4843953,296.1228567,-3.577070096,-5.038888911,298.946981,299.3666488,101297.7325
2020/1/7 11:00,211.4579724,296.1322142,-3.695724959,-5.179398452,298.8990081,299.3668279,101329.9547
2020/1/7 12:00,217.1688882,296.1347014,-3.846494282,-5.273324112,298.8436338,299.3670794,101359.9612
2020/1/7 13:00,222.2351568,296.1264583,-4.001857665,-5.331046409,298.779963,299.3674536,101381.1313
2020/1/7 14:00,226.6253755,296.1082312,-4.144919555,-5.365299618,298.7103213,299.3680254,101395.3156
2020/1/7 15:00,230.8428613,296.0828312,-4.266872443,-5.386516315,298.6354079,299.368909,101397.9923
2020/1/7 16:00,235.288281,296.0545936,-4.358303002,-5.400415701,298.5593818,299.3702812,101391.7504
2020/1/7 17:00,241.008739,296.0262379,-4.423962153,-5.422331694,298.486196,299.3724165,101379.2884
2020/1/7 18:00,248.5861333,296.0001755,-4.468713361,-5.453700634,298.4255013,299.3757419,101363.1083
2020/1/7 19:00,256.4349208,295.9744319,-4.510470324,-5.500219968,298.3833366,299.3809225,101350.0373
2020/1/7 20:00,265.2239732,295.9475571,-4.55621738,-5.548469097,298.3656728,299.3889944,101343.2916
2020/1/7 21:00,276.5232824,295.9192679,-4.609651382,-5.592814536,298.3761711,299.4015719,101347.4857
2020/1/7 22:00,290.5084563,295.8890838,-4.659498332,-5.636706745,298.4125834,299.4211707,101361.6976
2020/1/7 23:00,305.0170414,295.8541891,-4.748313795,-5.681561355,298.4558535,299.433748,101381.9723
2020/1/8 0:00,318.2605603,295.8152192,-4.859928215,-5.719029915,298.5122169,299.4418192,101401.8396
2020/1/8 1:00,325.0327106,295.7740394,-4.971841656,-5.74945736,298.5814185,299.4469986,101419.4628
2020/1/8 2:00,324.4941071,295.7336083,-5.065760965,-5.777268348,298.6539647,299.4503222,101424.4543
2020/1/8 3:00,315.2613884,295.6964218,-5.135982907,-5.801312266,298.7157518,299.4524545,101410.6385
2020/1/8 4:00,304.8302283,295.6642215,-5.190295699,-5.824484511,298.764601,299.4538221,101379.8668
2020/1/8 5:00,299.7111007,295.6365149,-5.242312627,-5.84878058,298.8009975,299.4546985,101337.5594
2020/1/8 6:00,304.0338567,295.6135589,-5.30783907,-5.876939469,298.8257032,299.455259,101293.644
2020/1/8 7:00,317.2786187,295.5937118,-5.397707113,-5.908559814,298.843487,299.4556157,101259.8565
2020/1/8 8:00,339.3684484,295.5730567,-5.496156727,-5.934368218,298.8526201,299.4558399,101240.9774
2020/1/8 9:00,364.9365674,295.5456807,-5.593747153,-5.946762102,298.8545773,299.4559765,101238.9368
2020/1/8 10:00,391.384053,295.5011316,-5.661702247,-5.935420845,298.8502768,299.4560527,101251.8484
2020/1/8 11:00,418.0121098,295.4811996,-5.761206011,-5.895372869,298.8419458,299.4560839,101271.2422
2020/1/8 12:00,440.9246038,295.477735,-5.871445012,-5.807513737,298.8314328,299.4560761,101291.1405
2020/1/8 13:00,456.3154387,295.4853634,-5.966915665,-5.677007541,298.816609,299.456028,101308.6416
2020/1/8 14:00,460.1694347,295.4997183,-6.047969003,-5.522730612,298.7976568,299.4559299,101321.1592
2020/1/8 15:00,456.5074897,295.5172581,-6.114063595,-5.357089991,298.7753101,299.4557621,101324.691
2020/1/8 16:00,445.6897112,295.5345154,-6.163288697,-5.190557476,298.7497454,299.4554911,101319.2417
